application_id,amount,bankruptcy_asset_amount,bankruptcy_liabilities_amount,created,ecoa,filing_date,id,status_date,status
43032448bab02bf916a67a5fbbe48421,0,0,0,2016-04-30 00:00:00.000000,1,2009-08-19,664499_v4,2009-12-14,15
70b5117742458c9f9bc78257597d3c29,160,,,2015-04-29 00:00:00.000000,1,2011-05-31,244608_v4,2011-05-31,8
81dbd74bd908e2234753ccd6c2a016f8,0,0,0,2016-01-30 00:00:00.000000,2,2010-04-30,367912_v4,2015-11-23,17
761aa063c0592697cad63c064c2a12cf,343,,,2016-01-30 00:00:00.000000,1,2012-07-23,13007_v4,2012-08-09,33
510cc8fa82e21860039abbf512115700,0,0,0,2016-04-30 00:00:00.000000,1,2008-04-25,464294_v4,2008-08-05,15
03e9c5840340ba6306913eed52b7adca,16495,,,2016-01-30 00:00:00.000000,1,2011-04-18,119208_v4,2011-04-18,30
3ee7cd5a2b5bbb472cc0c5d2c9d0d44c,9736,,,2015-01-31 00:00:00.000000,2,2010-05-03,407153_v4,2013-10-31,33
1056e376382ea4a8ce3e172ab75e43e4,0,0,0,2014-04-30 00:00:00.000000,2,2008-12-26,372787_v4,2011-02-23,16
885925ca289b38d7535bb0dadd113237,240,,,2015-01-31 00:00:00.000000,1,2009-09-24,161983_v4,2010-04-29,9
4ef2c41b14ce4612797c6ebf64cce598,0,0,0,2016-01-30 00:00:00.000000,2,2014-02-28,172848_v4,2014-05-28,15
a9712638ccad6c4a1e72b0a87b16da7d,1586,,,2016-04-30 00:00:00.000000,2,2015-10-09,176656_v4,2015-10-09,32
3569ca2ab194893c76f16c787015b437,9771,,,2016-04-30 00:00:00.000000,1,2013-10-11,466979_v4,2013-10-11,32
7b5956e294ee74c79e8baf81bb96486c,0,0,0,2015-04-29 00:00:00.000000,2,2007-08-22,535018_v4,2007-11-21,15
56023832279f4d89cd24c1bccad4d811,0,0,0,2016-04-30 00:00:00.000000,1,2010-09-02,1612_v4,2010-12-06,15
f2c5fa8ceb492268eb32c507b9e7e259,0,0,0,2014-04-30 00:00:00.000000,2,2008-05-30,315380_v4,2008-08-27,15
